,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
B.C.,B.C.,GPE,-0.18421053,0.69078947,en,1.90000000,,-1,,,,,,
Yakutsk,Yakutsk,GPE,-0.06250000,0.21052632,en,1.90000000,4264832-4,2013159,X,62.03388800,129.73305500,ASIA,Russia,ESB
Kerala,Kerala,GPE,-0.07456140,0.15350877,en,1.90000000,4030266-0,1267254,X,10.00000000,76.50000000,ASIA,India,SAS
Mumbai,Mumbai,GPE,-0.12500000,0.54605263,en,1.90000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Jammu,Jammu,GPE,-0.32017544,1.25438596,en,1.90000000,4387357-1,1269321,X,32.73568900,74.86911000,ASIA,India,WCA
Western Canada,Western Canada,LOC,-0.25438596,0.70175439,en,1.90000000,,-1,,,,,,
North Texas,North Texas,LOC,-0.19078947,0.52631579,en,1.90000000,,-1,,,,,,
EL PASO,EL PASO,GPE,0.72368421,0.93421053,en,1.90000000,,-1,,,,,,
Kanchanpur,Kanchanpur,GPE,-0.63157895,1.05263158,en,1.90000000,,-1,,,,,,
MEMPHIS,MEMPHIS,GPE,-0.08771930,0.91228070,en,1.90000000,,-1,,,,,,
Ireland,Ireland,GPE,0.01052632,0.21096491,en,1.90000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
NEW ORLEANS,NEW ORLEANS,GPE,0.17344498,0.52771132,en,1.90000000,,-1,,,,,,
Himachal Pradesh,Himachal Pradesh,GPE,-0.25000000,0.78947368,en,1.90000000,4240080-6,1270101,X,31.00000000,78.00000000,ASIA,India,TIB
Pensacola,Pensacola,GPE,0.05263158,0.15789474,en,1.90000000,,-1,,,,,,
Kandhamal,Kandhamal,GPE,-0.63157895,1.05263158,en,1.90000000,,-1,,,,,,
the Polar Vortex,the Polar Vortex,LOC,0.09795322,0.73421053,en,1.90000000,,-1,,,,,,
Palm Beach,Palm Beach,GPE,-0.36622807,0.68421053,en,1.90000000,,-1,,,,,,
NEW DELHI,NEW DELHI,GPE,-0.03242956,0.73010810,en,1.90000000,,-1,,,,,,
HONOLULU,HONOLULU,GPE,-0.09356725,0.47953216,en,1.90000000,,-1,,,,,,
KHON2,KHON2,GPE,-0.09356725,0.47953216,en,1.90000000,,-1,,,,,,
Dublin,Dublin,GPE,-0.32723855,0.80673274,en,1.90000000,4013170-1,2964574,X,53.33306000,-6.24889000,EUROPE,Ireland,NEU
Wales,Wales,GPE,-0.20095694,0.59330144,en,1.90000000,,-1,,,,,,
Lake Michigan,Lake Michigan,LOC,-0.05116959,0.47953216,en,1.90000000,,-1,,,,,,
Tenn.,Tenn.,GPE,-0.08771930,0.91228070,en,1.90000000,,-1,,,,,,
Kauai County,Kauai County,GPE,-0.09356725,0.47953216,en,1.90000000,,-1,,,,,,
Borderland,Borderland,LOC,0.72368421,0.93421053,en,1.90000000,,-1,,,,,,
the City of Côte Saint-Luc,the City of Côte Saint-Luc,GPE,-0.01644737,0.04934211,en,1.90000000,,-1,,,,,,
Bihar,Bihar,GPE,-0.28070175,0.64912281,en,1.90000000,4006563-7,1275715,X,25.75000000,85.75000000,ASIA,India,SAS
Miss.,Miss.,GPE,-0.25925926,0.35185185,en,1.80000000,,-1,,,,,,
South Texas,South Texas,LOC,-0.36851852,0.83888889,en,1.80000000,,-1,,,,,,
Jets,Jets,LOC,0.23569024,0.47081930,en,1.80000000,,-1,,,,,,
Himachal,Himachal,GPE,-0.21296296,0.35185185,en,1.80000000,,-1,,,,,,
Concordia,Concordia,GPE,0.20462963,0.61851852,en,1.80000000,,-1,,,,,,
BEIJING,BEIJING,GPE,-0.03611111,0.56111111,en,1.80000000,,-1,,,,,,
Hokkaido,Hokkaido,GPE,0.17058824,0.52941176,en,1.70000000,,-1,,,,,,
midwest,midwest,LOC,-0.58823529,1.17647059,en,1.70000000,,-1,,,,,,
Karnataka,Karnataka,GPE,-0.17647059,0.58823529,en,1.70000000,4110022-0,1267701,X,13.50000000,76.00000000,ASIA,India,SAS
North Georgia,North Georgia,GPE,-0.31372549,0.47058824,en,1.70000000,,-1,,,,,,
Carolinas,Carolinas,GPE,0.11382735,0.51107716,en,1.70000000,,-1,,,,,,
CALGARY,CALGARY,GPE,0.20499109,0.72905526,en,1.70000000,,-1,,,,,,
Aegean,Aegean,GPE,-0.42156863,0.84967320,en,1.70000000,,-1,,,,,,
Missouri,Missouri,GPE,0.08021390,0.44385027,en,1.70000000,,-1,,,,,,
Kansas,Kansas,GPE,0.36256684,0.54385027,en,1.70000000,4114131-3,4273857,X,38.50028900,-98.50063000,NORTH-AMERICA,United States,CNA
the Rust Belt,the Rust Belt,LOC,-0.11229947,0.62174688,en,1.70000000,,-1,,,,,,
ATLANTA,ATLANTA,GPE,-0.60625000,1.78125000,en,1.60000000,,-1,,,,,,
Venezuela,Venezuela,GPE,-0.67708333,1.48125000,en,1.60000000,4062512-6,3625428,X,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Iraq,Iraq,GPE,-0.04687500,0.57031250,en,1.60000000,,-1,,,,,,
South,South,LOC,0.10923295,1.30525568,en,1.60000000,,-1,,,,,,
the Northern Hemisphere,the Northern Hemisphere,LOC,-0.11653646,0.30013021,en,1.60000000,,-1,,,,,,
the Gulf Coast,the Gulf Coast,LOC,0.15595238,1.23474702,en,1.60000000,,-1,,,,,,
Europa,Europa,LOC,0.13827561,1.30066739,en,1.60000000,4015701-5,6255148,X,48.69095900,9.14062000,EUROPE,Germany,WCE
San Francisco,San Francisco,GPE,-0.04166667,0.22916667,en,1.60000000,,-1,,,,,,
Seattle,Seattle,GPE,0.40435606,0.69791667,en,1.60000000,,-1,,,,,,
North Pacific,North Pacific,LOC,-0.07812500,0.62500000,en,1.60000000,,-1,,,,,,
Iceland,Iceland,GPE,-0.75000000,1.23611111,en,1.60000000,4027754-9,2629691,X,65.00000000,-18.00000000,POLAR,Iceland,GIC
Belleville,Belleville,GPE,-1.12500000,1.87500000,en,1.60000000,,-1,,,,,,
